Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc00g058890.1	K4AR34	K4AR34_SOLLC	101252152, 101266923	
Solyc00g058900.1				
Solyc00g059100.2				
Solyc00g059500.1	K4AR37	K4AR37_SOLLC	101254299, 101267794	
Solyc00g060700.1				
Solyc00g060710.1				
Solyc00g060810.2				
Solyc00g062710.1				
Solyc00g063110.2				
Solyc00g063510.1				
Solyc00g065510.1				
Solyc00g065610.1				
Solyc00g065620.1				
Solyc00g065630.1				
Solyc00g065930.1				
Solyc00g065940.1				
Solyc00g066140.1				
Solyc00g066150.1				
Solyc00g066350.1				
Solyc00g066360.1				
Solyc00g066370.1				
Solyc00g067470.1				
Solyc00g068970.2				
Solyc00g068980.1				
Solyc00g069680.1				
Solyc00g069880.2				
Solyc00g070680.1				
Solyc00g071180.2	O81693	O81693_SOLLC		
Solyc00g071580.1				
Solyc00g071590.1				
Solyc00g071600.1				
Solyc00g072100.2				
Solyc00g072400.2				
Solyc00g072800.2				
Solyc00g073200.1				
Solyc00g073900.1				
Solyc00g073910.1				
Solyc00g074210.1				
Solyc00g074810.1				
Solyc00g074820.1				
Solyc00g074830.1				
Solyc00g075030.2				
Solyc00g075040.1				
Solyc00g075440.1				
Solyc00g075450.2				
Solyc00g076250.1				
Solyc00g079050.1				
Solyc00g080550.1				
Solyc00g080750.2				
Solyc00g082150.2	G8Z248	G8Z248_SOLLC	543850	Klc-I2I
Solyc00g082550.1				
Solyc00g084650.1				
Solyc00g084750.2				
Solyc00g084760.1				
Solyc00g084770.1				
Solyc00g084870.2				
Solyc00g085070.2	U3M0H6	U3M0H6_SOLLC	101252376	bc2.1
Solyc00g085370.1				
Solyc00g085770.1				
Solyc00g085780.1				
Solyc00g088080.1				
Solyc00g088090.1				
Solyc00g088190.1				
Solyc00g088200.1				
Solyc00g088210.1				
Solyc00g090110.1				
Solyc00g090120.1				
Solyc00g090130.1				
Solyc00g090430.2				
Solyc00g090630.1				
Solyc00g090640.1				
Solyc00g090650.1				
Solyc00g090660.1				
Solyc00g090860.1				
Solyc00g090870.2				
Solyc00g091170.2				
Solyc00g092870.1				
Solyc00g092880.1				
Solyc00g092890.1				
Solyc00g092900.1				
Solyc00g093000.1				
Solyc00g093100.1				
Solyc00g093300.1				
Solyc00g093310.1				
Solyc00g094010.1				
Solyc00g094020.1				
Solyc00g094520.1				
Solyc00g094530.1				
Solyc00g094540.1				
Solyc00g094550.1				
Solyc00g094850.1				
Solyc00g095450.1				
Solyc00g095460.1				
Solyc00g095760.1				
Solyc00g095860.1	Q9S854	Q9S854_SOLLC	544028	LE-ACS1A
Solyc00g096060.1				
Solyc00g096460.1				
Solyc00g097260.1				
Solyc00g097760.1				
Solyc00g097960.1				
Solyc00g098560.2				
Solyc00g099160.1				
Solyc00g099460.1				
Solyc00g099470.1				
Solyc00g099570.1				
Solyc00g099580.1				
Solyc00g099880.1				
Solyc00g100880.2				
Solyc00g101700.1				
Solyc00g102000.1				
Solyc00g102400.2	A1Y9R2	A1Y9R2_SOLLC		Mi-1G
Solyc00g104200.1				
Solyc00g104210.1				
Solyc00g104310.1				
Solyc00g104320.1				
Solyc00g104330.1				
Solyc00g104630.1				
Solyc00g104730.1				
Solyc00g104740.1				
Solyc00g104940.1				
Solyc00g105340.1				
Solyc00g105350.1				
Solyc00g105750.1				
Solyc00g106650.1	K4ARF7	K4ARF7_SOLLC		
Solyc00g107050.1				
Solyc00g107550.1				
Solyc00g108550.1				
Solyc00g109450.1				
Solyc00g109850.1				
Solyc00g109860.1				
Solyc00g110060.1				
Solyc00g110070.1				
Solyc00g110370.1				
Solyc00g110870.2				
Solyc00g111170.1				
Solyc00g111270.1				
Solyc00g111370.1				
Solyc00g111770.1				
Solyc00g111780.1				
Solyc00g112180.1				
Solyc00g112190.2				
Solyc00g112490.1				
Solyc00g112500.1				
Solyc00g112600.1				
Solyc00g112700.1				
Solyc00g112710.1				
Solyc00g112810.1				
Solyc00g112820.1				
Solyc00g112830.1				
Solyc00g112930.2				
Solyc00g113230.1				
Solyc00g113330.1				
Solyc00g113730.1				
Solyc00g113740.1				
Solyc00g113750.1				
Solyc00g114550.1				
Solyc00g116150.1				
Solyc00g117450.2	U5L363	U5L363_SOLLC	101245925, 101267013	
Solyc00g117650.1				
Solyc00g118680.2				
Solyc00g118690.1				
Solyc00g120120.1				
Solyc00g120820.1				
Solyc00g120830.1				
Solyc00g120930.1				
Solyc00g121230.1				
Solyc00g121730.1				
Solyc00g122530.1				
Solyc00g123030.1				
Solyc00g123040.1				
Solyc00g123240.1				
Solyc00g124840.1				
Solyc00g124850.1				
Solyc00g124860.1				
Solyc00g125260.1				
Solyc00g125270.1				
Solyc00g125580.1				
Solyc00g125980.1				
Solyc00g125990.1				
Solyc00g126000.1				
Solyc00g126010.1				
Solyc00g126420.1				
Solyc00g126430.1				
Solyc00g126440.1				
Solyc00g127540.1				
Solyc00g127550.1				
Solyc00g127560.1				
Solyc00g127660.2				
Solyc00g127670.1				
Solyc00g127870.2				
Solyc00g128870.2				
Solyc00g129670.1				
Solyc00g129680.1				
Solyc00g129880.1				
Solyc00g129980.1				
Solyc00g130180.1				
Solyc00g130190.1				
Solyc00g130290.1				
Solyc00g130690.1				
Solyc00g130700.1				
Solyc00g130800.1				
Solyc00g130810.1				
Solyc00g131610.1				
Solyc00g131710.1				
Solyc00g133110.1				
Solyc00g133710.1				
Solyc00g133720.1				
Solyc00g134620.1				
Solyc00g134820.1				
Solyc00g134830.1				
Solyc00g134840.1				
Solyc00g135040.1				
Solyc00g135050.1				
Solyc00g135060.1				
Solyc00g135260.1				
Solyc00g136260.1				
Solyc00g136560.2	K7X479	K7X479_SOLLC		CPT5
Solyc00g138060.2				
Solyc00g139760.1				
Solyc00g140060.2				
Solyc00g141360.1				
Solyc00g141560.1				
Solyc00g142160.1				
