Solyc11g044340.2.1;	
Solyc10g009050.3.1;	101247562;
Solyc03g093850.2.1;	
Solyc03g007980.1.1;	101266303;
Solyc11g027910.1.1;	
Solyc09g031900.3.1;	
Solyc10g019227.1.1;	
Solyc00g015733.1.1;	
Solyc05g044450.1.1;	
Solyc01g014480.3.1;	101264242;
Solyc04g077100.3.1;	
Solyc10g079420.1.1;	
Solyc05g045910.1.1;	
Solyc04g039940.2.1;	
Solyc11g062430.2.1;	101258618;
Solyc02g068180.3.1;	101246310;
Solyc01g102810.3.1;	101254741;
Solyc06g007457.1.1;	
Solyc05g009840.3.1;	101265920;
Solyc01g098490.3.1;	104644300;
Solyc08g081030.1.1;	101258773;
Solyc04g005440.1.1;	101251273;
Solyc07g039195.1.1;	
Solyc06g053850.3.1;	101255799;
Solyc03g013470.1.1;	
Solyc01g091620.3.1;	101258488;
Solyc09g011210.3.1;	101260667;
Solyc09g020157.1.1;	
Solyc01g066900.3.1;	
Solyc06g051960.3.1;	101258375;
Solyc01g081177.1.1;	
Solyc08g077640.2.1;	
Solyc01g059780.1.1;	
Solyc05g018830.2.1;	
Solyc00g025510.1.1;	
Solyc03g078010.1.1;	
Solyc04g017880.1.1;	
Solyc06g005630.2.1;	
Solyc01g044374.1.1;	
Solyc03g115770.3.1;	101259425;
Solyc10g049994.1.1;	
Solyc00g053440.3.1;	
Solyc11g013440.2.1;	101255947;
Solyc12g055890.2.1;	
Solyc00g107050.1.1;	
Solyc04g051513.1.1;	
Solyc03g115830.2.1;	101260527;
Solyc01g107620.3.1;	101251723;
Solyc04g064600.1.1;	
Solyc10g074434.1.1;	
Solyc03g083270.3.1;	101257844;
Solyc02g093070.3.1;	101245215;
Solyc10g007390.3.1;	101259292;
Solyc08g047960.1.1;	
Solyc01g105790.2.1;	
Solyc01g059884.1.1;	104646997;
Solyc05g014465.1.1;	
Solyc05g014620.2.1;	
Solyc10g080585.1.1;	
Solyc10g008240.3.1;	101266073;
Solyc04g077130.1.1;	101246627;
Solyc09g072500.1.1;	
Solyc06g069340.1.1;	104648040;
Solyc01g010550.1.1;	
Solyc02g086980.3.1;	
Solyc02g083880.3.1;	101259800;
Solyc05g050130.3.1;	101253788;
Solyc11g065370.2.1;	
Solyc01g095210.3.1;	101247258;
Solyc12g017920.2.1;	
Solyc02g090550.1.1;	
Solyc04g051760.1.1;	
Solyc00g040490.1.1;	
Solyc12g044730.2.1;	101251263;
Solyc10g081020.2.1;	101250941;
Solyc12g096510.2.1;	
Solyc12g019610.2.1;	
Solyc03g097870.3.1;	
Solyc03g112175.1.1;	
Solyc01g094810.3.1;	
Solyc02g078140.3.1;	101252042;
Solyc01g098065.1.1;	
Solyc09g012010.1.1;	
Solyc08g074830.3.1;	
Solyc10g052850.1.1;	
Solyc01g005840.3.1;	101245577;
Solyc12g056020.1.1;	101246228;
Solyc02g061810.3.1;	101256645;
Solyc04g016570.1.1;	
Solyc10g008780.1.1;	
Solyc11g066370.2.1;	101262281;
Solyc12g056200.2.1;	101263884;
Solyc05g011980.3.1;	101261117;
Solyc10g051365.1.1;	
Solyc07g005130.3.1;	101258382;
Solyc01g087400.3.1;	
Solyc05g055530.3.1;	101264630;
Solyc11g066520.2.1;	
Solyc01g097850.1.1;	
Solyc04g082800.3.1;	101243990;
Solyc06g048590.3.1;	101248110;
Solyc08g079180.3.1;	101245683;
Solyc11g007070.2.1;	101244729;
Solyc03g083910.3.1;	
Solyc04g012070.2.1;	
Solyc06g009530.3.1;	
Solyc02g080500.3.1;	101254259;
Solyc09g005550.3.1;	101249955;
Solyc06g007710.3.1;	
Solyc01g049950.1.1;	
Solyc01g110465.1.1;	
Solyc04g082270.3.1;	101254897;
Solyc08g081380.3.1;	101250240;
Solyc07g064230.3.1;	101256308;
Solyc02g087590.2.1;	
Solyc05g023857.1.1;	
Solyc09g072790.3.1;	101247161;
Solyc05g025923.1.1;	
Solyc07g032640.2.1;	
Solyc01g109810.2.1;	101244426;
Solyc06g043354.1.1;	
Solyc09g031780.3.1;	101267641;
Solyc07g053900.2.1;	
Solyc02g093197.1.1;	
Solyc02g079240.1.1;	
Solyc09g082770.3.1;	101258596;
Solyc01g079590.3.1;	101245986;
Solyc10g008740.3.1;	101255435;
Solyc01g096930.3.1;	101252122;
Solyc06g082920.3.1;	101261424;
Solyc02g093390.3.1;	
Solyc11g028025.1.1;	
Solyc05g008020.3.1;	100736476;
Solyc03g095850.1.1;	
Solyc07g054745.1.1;	
Solyc05g016344.1.1;	
Solyc04g009340.3.1;	101261219;
Solyc04g080120.1.1;	101266330;
Solyc12g095770.2.1;	101246410;
Solyc07g062120.3.1;	
Solyc01g005940.3.1;	
Solyc01g102870.2.1;	
Solyc06g036675.1.1;	
Solyc06g066430.3.1;	101254305;
Solyc01g100270.3.1;	
Solyc08g006910.3.1;	101254616;
Solyc01g009310.3.1;	101248602;
Solyc01g014560.3.1;	
Solyc12g019060.2.1;	101263977;
Solyc01g057300.2.1;	101250045;
Solyc06g065450.3.1;	101249465;
Solyc03g080040.1.1;	101254768;
Solyc03g096670.3.1;	100316895;
Solyc06g010250.3.1;	101247028;
Solyc03g096360.3.1;	101265413;
Solyc01g112245.1.1;	
Solyc02g091330.3.1;	101259997;
Solyc03g063350.3.1;	101244163;
Solyc08g005525.1.1;	
Solyc11g015890.2.1;	101260198;
Solyc11g008900.2.1;	101255551;
Solyc02g077560.3.1;	778363;
Solyc01g008400.3.1;	
Solyc11g006070.2.1;	101251734;
Solyc01g091550.3.1;	101257302;
Solyc11g027897.1.1;	
Solyc08g082280.3.1;	
Solyc03g119800.2.1;	
Solyc03g117840.3.1;	
Solyc00g266110.1.1;	
